Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 30",boxscore,PHI,@,TEX,L,7,11,,0-1,3,1,Ragans,Soto,,0.127777778,D,38387,0.91,-,
2,"Saturday, Apr 1",boxscore,PHI,@,TEX,L,3,16,,0-2,4,2,Eovaldi,Wheeler,,0.131944444,D,31916,0.91,--,
3,"Sunday, Apr 2",boxscore,PHI,@,TEX,L,1,2,,0-3,5,2.5,Pérez,Falter,Smith,0.1,N,25823,0.84,---,
4,"Monday, Apr 3",boxscore,PHI,@,NYY,L,1,8,,0-4,5,3,Cortés,Walker,,0.111805556,N,37202,0.78,----,
5,"Tuesday, Apr 4",boxscore,PHI,@,NYY,W,4,1,,45295,4,3,Bellatti,Germán,,0.114583333,N,35392,0.73,+,
6,"Wednesday, Apr 5",boxscore,PHI,@,NYY,L,2,4,,45296,4,4,Cole,Nola,Holmes,0.104166667,D,35847,0.82,-,
7,"Friday, Apr 7",boxscore,PHI,,CIN,W,5,2,,45327,4,3.5,Soto,Law,Kimbrel,0.113194444,D,44365,0.82,+,
8,"Saturday, Apr 8",boxscore,PHI,,CIN,W-wo,3,2,,45356,3,2.5,Vasquez,Díaz,,0.115972222,D,44526,0.83,++,
9,"Sunday, Apr 9",boxscore,PHI,,CIN,L,4,6,,45357,4,2.5,Herget,Domínguez,Gibaut,0.1125,D,39129,0.9,-,
10,"Monday, Apr 10",boxscore,PHI,,MIA,W,15,3,,45388,3,2.5,Strahm,Alcántara,,0.103472222,N,28642,0.9,+,
11,"Tuesday, Apr 11",boxscore,PHI,,MIA,L,4,8,,45389,4,3.5,Luzardo,Nola,,0.122916667,N,43444,0.91,-,
12,"Wednesday, Apr 12",boxscore,PHI,,MIA,L,2,3,10,45390,4,4.5,Puk,Soto,,0.111111111,D,29584,0.87,--,
13,"Thursday, Apr 13",boxscore,PHI,@,CIN,L,2,6,,45391,4,5,Lodolo,Falter,Díaz,0.106944444,N,12170,0.79,---,
14,"Friday, Apr 14",boxscore,PHI,@,CIN,W,8,3,,45421,4,5,Walker,Overton,,0.1125,N,17610,0.76,+,
15,"Saturday, Apr 15",boxscore,PHI,@,CIN,L,0,13,,45422,4,6,Ashcraft,Strahm,,0.110416667,D,25860,0.79,-,
16,"Sunday, Apr 16",boxscore,PHI,@,CIN,W,14,3,,45453,4,6,Nola,Cessa,,0.126388889,D,13115,0.72,+,
17,"Tuesday, Apr 18 (1)",boxscore,PHI,@,CHW,W,7,4,,45483,4,7,Wheeler,Lynn,Alvarado,0.113194444,D,,0.72,++,
18,"Tuesday, Apr 18 (2)",boxscore,PHI,@,CHW,L,0,3,,45484,4,7,Giolito,Falter,López,0.089583333,D,12542,0.75,-,
19,"Wednesday, Apr 19",boxscore,PHI,@,CHW,W,5,2,,45515,4,6,Walker,Clevinger,Alvarado,0.099305556,D,10149,0.68,+,
20,"Thursday, Apr 20",boxscore,PHI,,COL,L,0,5,,45516,4,6.5,Feltner,Strahm,,0.111111111,N,35062,0.8,-,
21,"Friday, Apr 21",boxscore,PHI,,COL,W,4,3,,45547,4,5.5,Domínguez,Hand,Alvarado,0.107638889,N,43261,0.71,+,
22,"Saturday, Apr 22",boxscore,PHI,,COL,W,4,3,,45577,4,4.5,Brogdon,Freeland,Kimbrel,0.101388889,D,41939,0.73,++,
