Year,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
2023-2024,Alisson,br BRA,GK,Liverpool,30,1992,28,28,2520,28,30,1.07,109,80,73.4,16,8,4,8,28.6,1,1,0,0,0
2023-2024,Alphonse Areola,fr FRA,GK,West Ham,30,1993,31,31,2699,30,53,1.77,188,136,74.5,11,9,11,4,12.9,7,5,2,0,28.6
2023-2024,Daniel Bentley,eng ENG,GK,Wolves,30,1993,5,3,383,4.3,7,1.64,15,8,53.3,1,0,2,1,33.3,0,0,0,0,
2023-2024,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,23,22,1985,22.1,42,1.9,130,87,70.8,9,4,9,5,22.7,5,4,1,0,20
2023-2024,Ederson,br BRA,GK,Manchester City,29,1993,33,33,2785,30.9,27,0.87,82,56,70.7,24,6,3,10,30.3,3,3,0,0,0
2023-2024,Łukasz Fabiański,pl POL,GK,West Ham,38,1985,10,7,721,8,21,2.62,53,33,66,3,1,3,1,14.3,3,3,0,0,0
2023-2024,Mark Flekken,nl NED,GK,Brentford,30,1993,37,37,3285,36.5,63,1.73,176,113,65.3,10,9,18,7,18.9,2,2,0,0,0
2023-2024,Wes Foderingham,eng ENG,GK,Sheffield Utd,32,1991,30,29,2649,29.4,79,2.68,204,130,63.7,3,4,22,1,3.4,6,5,0,1,0
2023-2024,Ivo Grbić,hr CRO,GK,Sheffield Utd,27,1996,9,9,771,8.6,25,2.92,59,36,57.6,0,3,6,0,0,1,0,0,1,
2023-2024,Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18,18,1620,18,30,1.67,86,57,66.3,8,4,6,4,22.2,1,1,0,0,0
2023-2024,Sam Johnstone,eng ENG,GK,Crystal Palace,30,1993,20,20,1796,20,27,1.35,67,41,62.7,5,6,9,6,30,2,2,0,0,0
2023-2024,Thomas Kaminski,be BEL,GK,Luton Town,30,1992,38,38,3405,37.8,85,2.25,221,140,63.3,6,8,24,2,5.3,4,4,0,0,0
2023-2024,Loris Karius,de GER,GK,Newcastle Utd,30,1993,1,1,90,1,4,4,7,4,42.9,0,0,1,0,0,0,0,0,0,
2023-2024,Caoimhín Kelleher,ie IRL,GK,Liverpool,24,1998,10,10,900,10,11,1.1,38,28,71.1,8,2,0,2,20,0,0,0,0,
2023-2024,Bernd Leno,de GER,GK,Fulham,31,1992,38,38,3420,38,61,1.61,190,133,72.1,13,8,17,10,26.3,8,8,0,0,0
2023-2024,Emiliano Martínez,ar ARG,GK,Aston Villa,30,1992,34,34,3015,33.5,48,1.43,139,95,66.2,19,8,7,8,23.5,1,1,0,0,0
2023-2024,Remi Matthews,eng ENG,GK,Crystal Palace,29,1994,1,0,4,0,1,22.5,1,0,0,0,0,0,0,,0,0,0,0,
2023-2024,Arijanet Muric,xk KVX,GK,Burnley,24,1998,10,10,900,10,16,1.6,78,62,80.8,2,4,4,0,0,2,1,1,0,50
2023-2024,Neto,br BRA,GK,Bournemouth,34,1989,32,32,2880,32,55,1.72,165,110,69.7,10,9,13,7,21.9,6,5,1,0,16.7
2023-2024,Robin Olsen,se SWE,GK,Aston Villa,33,1990,5,4,405,4.5,13,2.89,34,20,61.8,1,0,3,0,0,1,0,1,0,100
2023-2024,André Onana,cm CMR,GK,Manchester Utd,27,1996,38,38,3420,38,58,1.53,203,146,74.9,18,6,14,9,23.7,7,7,0,0,0
2023-2024,Stefan Ortega,de GER,GK,Manchester City,30,1992,9,5,635,7.1,7,0.99,27,20,74.1,4,1,0,3,60,0,0,0,0,
